Property ID,Postal code,Locality name,Price,Type of property,Number of rooms,Living area,Equipped kitchen,State of building,Number of facades,Furnished,Open fire,Swimming pool,Garden (m²),Terrace (m²)
20239719,4102,seraing,325000,"Apartment
 ",2 bedrooms,89,1,As new,2,0.0,,0.0,148,25
20236298,2660,hoboken,249900,"Apartment
 ",2 bedrooms,97,0,As new,2,,,,,3
20236289,2018,antwerpen-2018,375000,"Apartment
 ",2 bedrooms,100,1,Good,,,,,,20
20237641,4100,seraing,133000335000,Gastronomia,1 - 3 bedrooms,38,0,,,,,,,
20239456,1082,berchem-sainte-agathe,149000382000,Upsylon,1 - 3 bedrooms,42,0,,,,,,,
20236163,9890,gavere,159325447375,Gaverling -,1 - 3 bedrooms,75,0,,,,,,,
20236149,9890,gavere,159325447375,Gaverling G,1 - 3 bedrooms,75,0,,,,,,,
20237655,2500,lier,218586394026,Olivia,1 - 3 bedrooms,71,0,,,,,,,
20239865,9800,deinze,232000297000,Thuis aan d,1 - 2 bedrooms,71,0,,,,,,,
20239438,1140,evere,235000499000,Evora,0 - 3 bedrooms,42,0,,,,,,,
20239646,1140,evere,240000528000,Artico,0 - 3 bedrooms,41,0,,,,,,,
20239532,1000,bruxelles,260000465000,City Walk -,0 - 2 bedrooms,40,0,,,,,,,
20237328,2500,lier,260000265000,Residentie ,1 bedroom,75,0,,,,,,,
20236688,9300,aalst,260250304000,Residentie ,2 - 3 bedrooms,107,0,,,,,,,
20236231,9890,gavere,273700382150,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236197,9890,gavere,273700382500,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20239954,2500,lier,274000339000,Kwarts,1 - 2 bedrooms,74,0,,,,,,,
20239349,1180,ukkel,275000995000,Les promena,0 - 3 bedrooms,53,0,,,,,,,
20236692,9300,aalst,276500332000,Residentie ,2 bedrooms,96,0,,,,,,,
20240074,2430,laakdal,281000,Luxe reside,2 bedrooms,80,0,,,,,,,
20236679,1770,liedekerke,286000462000,Vallei Hout,2 - 3 bedrooms,86,0,,,,,,,
20236405,2547,lint,299500319000,Residentie ,2 bedrooms,78,0,,,,,,,
20236078,9052,gent-zwijnaarde,301948556453,Residentie ,1 - 3 bedrooms,69,0,,,,,,,
20239512,1050,ixelles,320000850000,Spring Gard,0 - 3 bedrooms,45,0,,,,,,,
20239045,1000,bruxelles,325000366000,Park Lane -,2 bedrooms,92,0,,,,,,,
20238769,1070,anderlecht,335000,City-Dox - ,3 bedrooms,118,0,,,,,,,
20240024,3271,averbode,336500,Nieuwbouwwo,4 bedrooms,170,0,,,,,,,
20239668,1200,woluwe-saint-lambert,3400001435000,W56,0 - 3 bedrooms,52,0,,,,,,,
20239859,9800,astene,340000621000,Leiemeersen,2 - 3 bedrooms,89,0,,,,,,,
20239965,2500,lier,344000459000,Kwarts,2 - 3 bedrooms,99,0,,,,,,,
20240202,4140,gomz%C3%A9-andoumont,1699000,"Villa
     ",11 bedrooms,730,0,,,0.0,,,,
20240198,9620,zottegem,465000,"House
     ",6 bedrooms,260,0,Good,,0.0,,,,
20240197,9790,wortegem-petegem,435000,"House
     ",4 bedrooms,174,0,Good,,0.0,,1.0,,
20240196,9700,oudenaarde,1150000,Apartment b,8 bedrooms,625,0,,,0.0,,,,
20240194,9500,geraardsbergen,215000,"House
     ",2 bedrooms,75,0,Just renovated,,0.0,,,,
20240193,9700,oudenaarde,325000,"House
     ",3 bedrooms,146,0,Good,,0.0,,,,
20240188,9620,zottegem,249000,"House
     ",4 bedrooms,212,0,To renovate,,0.0,,,,
20240185,8400,oostende,249000,"Apartment
 ",2 bedrooms,86,0,,,0.0,,,,4
20115006,1180,uccle,550000,"House
     ",6 bedrooms,225,1,,,0.0,,,,
20088392,1320,beauvechain,425000,"House
     ",4 bedrooms,185,0,,,,,,,
20240183,9160,lokeren,326000,"House
     ",3 bedrooms,211,1,To be done up,,0.0,,,,
20240178,8870,izegem,249000,"House
     ",3 bedrooms,124,1,To renovate,,,,,,
20240174,8582,outrijve,375000,"House
     ",3 bedrooms,217,1,Just renovated,,,,,,
20240173,1420,braine-l%27alleud,749000,Mixed-use b,,243,0,Good,2,0.0,,,,
20240170,8660,de%20panne,150000,"Apartment
 ",1 bedroom,50,1,To be done up,,1.0,,,,
20240169,9600,ronse,239000,"House
     ",4 bedrooms,453,0,Good,,,,,,
20240168,9600,ronse,309000,"Mansion
   ",4 bedrooms,230,0,To be done up,,,,,,
20149853,2620,hemiksem,295000,"House
     ",2 bedrooms,125,1,Just renovated,3,,,,100,
20240166,4571%20AD,axel,550000,"Bungalow
  ",3 bedrooms,143,1,Good,4,,,,1,
20240163,9000,gent,354000,"Apartment
 ",2 bedrooms,70,0,Just renovated,,,,,,
20240153,8620,nieuwpoort,975000,"Villa
     ",3 bedrooms,155,1,To renovate,,1.0,,,,
20240150,9290,overmere,315000,"House
     ",5 bedrooms,190,0,To renovate,,,,,,
20240137,8530,harelbeke,285000,"House
     ",3 bedrooms,218,0,Good,,,,,,
20040067,3010,kessel-lo,199000,"House
     ",2 bedrooms,93,0,To renovate,,0.0,,,,
20240136,3000,leuven,185000,Flat studio,1 bedroom,24,1,Good,,1.0,,,,
20031548,4020,li%C3%A8ge,415000,"Mansion
   ",6 bedrooms,240,1,Good,2,,,,30,20
20100567,2018,antwerpen%20%282018%29,390000,"Apartment
 ",2 bedrooms,172,0,To renovate,,,,,,26
20240129,2660,hoboken,595000,"Mansion
   ",5 bedrooms,258,1,Good,2,,,,,
20240125,2600,antwerpen,274000,"Apartment
 ",2 bedrooms,80,1,As new,2,0.0,,,,10
20097305,6010,charleroi%20couillet,135000,"House
     ",2 bedrooms,91,1,To be done up,3,0.0,,,,
20236365,9600,ronse,347400394600,WOONERF HOE,4 bedrooms,170,0,,,,,,,
20238324,2275,poederlee,349000363000,BEN-apparte,3 bedrooms,125,0,,,,,,,
20236677,9300,aalst,349000,De Tuinpavi,2 bedrooms,108,0,,,,,,,
20238878,1000,bruxelles,350000379000,Park Lane I,2 bedrooms,97,0,,,,,,,
20239145,1000,bruxelles,355000374000,Park Lane -,2 bedrooms,94,0,,,,,,,
20236694,9420,mere,360000430000,Residentie ,2 bedrooms,101,0,,,,,,,
20239216,1000,bruxelles,364000379000,Park Lane I,2 bedrooms,93,0,,,,,,,
20238999,1000,bruxelles,365000,Park Lane I,2 bedrooms,100,0,,,,,,,
20236132,9890,gavere,365000397000,Gaverling -,3 bedrooms,171,0,,,,,,,
20239265,1000,bruxelles,367000444000,Park Lane -,2 bedrooms,98,0,,,,,,,
