Property ID,Postal code,Locality name,Price,Type of property,Number of rooms,Living area,Equipped kitchen,State of building,Number of facades,Furnished,Open fire,Swimming pool,Garden (m²),Terrace (m²)
20236298,2660,hoboken,249900,"Apartment
 ",2 bedrooms,97,0,As new,2,,,,,3
20236289,2018,antwerpen-2018,375000,"Apartment
 ",2 bedrooms,100,1,Good,,,,,,20
20234084,1170,watermael-boitsfort,550000,"Apartment
 ",4 bedrooms,143,1,Good,2,0.0,,0.0,,18
20236163,9890,gavere,159325447375,Gaverling -,1 - 3 bedrooms,75,0,,,,,,,
20236149,9890,gavere,159325447375,Gaverling G,1 - 3 bedrooms,75,0,,,,,,,
20234667,1080,molenbeek-saint-jean,188000265000,EKLA,1 - 2 bedrooms,49,0,,,,,,,
20234146,1190,forest,188000460000,"""Forest Vil",0 - 3 bedrooms,42,0,,,,,,,
20234591,1082,berchem-sainte-agathe,230000480000,AGATHA GARD,0 - 4 bedrooms,40,0,,,,,,,
20234626,1083,ganshoren,230000480000,AGATHA GARD,0 - 4 bedrooms,40,0,,,,,,,
20237328,2500,lier,260000265000,Residentie ,1 bedroom,75,0,,,,,,,
20236688,9300,aalst,260250304000,Residentie ,2 - 3 bedrooms,107,0,,,,,,,
20234664,1030,schaerbeek,265000570000,IDYLLES,1 - 3 bedrooms,55,0,,,,,,,
20234924,1140,evere,269000469000,HANRIOT,1 - 3 bedrooms,74,0,,,,,,,
20236231,9890,gavere,273700382150,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236197,9890,gavere,273700382500,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236692,9300,aalst,276500332000,Residentie ,2 bedrooms,96,0,,,,,,,
20236679,1770,liedekerke,286000462000,Vallei Hout,2 - 3 bedrooms,86,0,,,,,,,
20236405,2547,lint,299500319000,Residentie ,2 bedrooms,78,0,,,,,,,
20236078,9052,gent-zwijnaarde,301948556453,Residentie ,1 - 3 bedrooms,69,0,,,,,,,
20235623,9000,gent,310000400000,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20235624,9051,sint-denijs-westrem,310000400000,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20235622,9051,sint-denijs-westrem,310000400000,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20234681,1020,bruxelles,320000465000,BRIQUETERIE,2 - 3 bedrooms,96,0,,,,,,,
20236365,9600,ronse,347400394600,WOONERF HOE,4 bedrooms,170,0,,,,,,,
20236677,9300,aalst,349000,De Tuinpavi,2 bedrooms,108,0,,,,,,,
20236694,9420,mere,360000430000,Residentie ,2 bedrooms,101,0,,,,,,,
20236132,9890,gavere,365000397000,Gaverling -,3 bedrooms,171,0,,,,,,,
20235803,9850,merendree,370000396000,,3 bedrooms,158,0,,,,,,,
20236252,9230,wetteren,404500450000,Cooppallaan,3 - 4 bedrooms,121,0,,,,,,,
20236417,9310,baardegem,455600542214,BIOMOLEN,3 bedrooms,135,0,,,,,,,
20237567,3650,dilsen-stokkem,235000,"Duplex
    ",2 bedrooms,100,0,Good,2,0.0,,,,
20088520,2500,lier,480000,Exceptional,2 bedrooms,155,1,Good,4,0.0,,,800,30
20237564,2470,retie,469000,"Penthouse
 ",2 bedrooms,175,1,As new,2,0.0,,,,70
20237563,3790,mouland,315000,"House
     ",6 bedrooms,143,1,Good,2,0.0,,,,
20237561,9050,gent,409000,"House
     ",3 bedrooms,118,1,As new,2,0.0,,0.0,20,
20237560,4000,li%C3%A8ge,125000,Flat studio,1 bathroom,46,0,Good,2,0.0,,0.0,,5
20237559,3090,overijse,365000,"House
     ",3 bedrooms,135,0,,3,0.0,,,70,
20237558,1120,brussel,198000,"Apartment
 ",2 bedrooms,91,1,To renovate,2,,,,,4
20237557,3000,herent,542000,"Villa
     ",5 bedrooms,222,1,Good,4,,1.0,0.0,,
20237556,1700,dilbeek,1495000,Exceptional,4 bedrooms,381,1,As new,4,,1.0,1.0,,
20237555,6060,gilly%20%28charleroi%29,15000,"Apartment
 ",2 bedrooms,88,1,,2,0.0,,,,5
20237553,6001,marcinelle,435000,"Apartment
 ",3 bedrooms,245,1,,4,0.0,,,,130
20237549,6460,salles,265000,"House
     ",5 bedrooms,207,1,,4,0.0,1.0,,510,
20237552,6110,montigny-le-tilleul,498000,"Villa
     ",3 bedrooms,381,1,As new,4,0.0,,,1000,37
20237551,6460,salles,165000,"House
     ",5 bedrooms,207,1,,3,0.0,1.0,,85,
20237550,5660,mariembourg,125000,"House
     ",1 bedroom,64,1,,4,0.0,,,,30
20237547,6120,nalinnes,695000,"Villa
     ",4 bedrooms,368,1,,4,0.0,,,2000,50
20237450,7180,seneffe,208000404000,DEUX ECLUSE,1 - 3 bedrooms,60,0,,,,,,,
20237439,3700,tongeren,220000525000,Residentie ,1 - 3 bedrooms,56,0,,,,,,,
20237427,3520,zonhoven,346950,Residentie ,2 bedrooms,84,0,,,,,,,
10588513,3970,leopoldsburg,366000425000,Woningen aa,3 bedrooms,165,0,,,,,,,
11212128,2640,mortsel,225000,"Apartment
 ",2 bedrooms,80,0,Just renovated,,,,,,2
20237423,2630,aartselaar,595000,"House
     ",5 bedrooms,200,1,Good,,,,,,
20237418,2600,berchem,209000,"Apartment
 ",2 bedrooms,110,1,Good,2,0.0,,0.0,,15
20237417,2660,hoboken,334000,"House
     ",4 bedrooms,205,1,Just renovated,2,,,,70,
20237416,6060,gilly%20%28charleroi%29,55000,"House
     ",1 bedroom,70,1,,2,0.0,,,,
20237415,6200,bouffioulx,199000,"House
     ",4 bedrooms,122,1,,2,0.0,,,35,4
20237413,2180,ekeren%20%28antwerpen%29,475000,"House
     ",4 bedrooms,189,1,,4,0.0,,0.0,,
20237412,7641,bruyelle,89500,"House
     ",2 bedrooms,66,1,To be done up,2,,,,,
20237411,8790,waregem,499000,"Villa
     ",3 bedrooms,160,1,Good,4,,1.0,,,
20235883,9051,sint-denijs-westrem,458000465000,,4 bedrooms,175,0,,,,,,,
20235186,1130,bruxelles,481000521000,LES JARDINS,4 bedrooms,149,0,,,,,,,
20235178,1140,evere,481000521000,LES JARDINS,4 bedrooms,149,0,,,,,,,
