Property ID,Postal code,Locality name,Price,Type of property,Number of rooms,Living area,Equipped kitchen,State of building,Number of facades,Furnished,Open fire,Swimming pool,Garden (m²),Terrace (m²)
20236298,2660,hoboken,249900,"Apartment
 ",2 bedrooms,97,0,As new,2,,,,,3
20236289,2018,antwerpen-2018,375000,"Apartment
 ",2 bedrooms,100,1,Good,,,,,,20
20237641,4100,seraing,133000335000,Gastronomia,1 - 3 bedrooms,38,0,,,,,,,
20236163,9890,gavere,159325447375,Gaverling -,1 - 3 bedrooms,75,0,,,,,,,
20236149,9890,gavere,159325447375,Gaverling G,1 - 3 bedrooms,75,0,,,,,,,
20237655,2500,lier,218586394026,Olivia,1 - 3 bedrooms,71,0,,,,,,,
20237328,2500,lier,260000265000,Residentie ,1 bedroom,75,0,,,,,,,
20236688,9300,aalst,260250304000,Residentie ,2 - 3 bedrooms,107,0,,,,,,,
20236231,9890,gavere,273700382150,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236197,9890,gavere,273700382500,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236692,9300,aalst,276500332000,Residentie ,2 bedrooms,96,0,,,,,,,
20236679,1770,liedekerke,286000462000,Vallei Hout,2 - 3 bedrooms,86,0,,,,,,,
20236405,2547,lint,299500319000,Residentie ,2 bedrooms,78,0,,,,,,,
20236078,9052,gent-zwijnaarde,301948556453,Residentie ,1 - 3 bedrooms,69,0,,,,,,,
20235623,9000,gent,310000400000,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20235624,9051,sint-denijs-westrem,310000400000,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20235622,9051,sint-denijs-westrem,310000400000,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20236365,9600,ronse,347400394600,WOONERF HOE,4 bedrooms,170,0,,,,,,,
20238324,2275,poederlee,349000363000,BEN-apparte,3 bedrooms,125,0,,,,,,,
20236677,9300,aalst,349000,De Tuinpavi,2 bedrooms,108,0,,,,,,,
20236694,9420,mere,360000430000,Residentie ,2 bedrooms,101,0,,,,,,,
20236132,9890,gavere,365000397000,Gaverling -,3 bedrooms,171,0,,,,,,,
20235803,9850,merendree,370000396000,,3 bedrooms,158,0,,,,,,,
20236252,9230,wetteren,404500450000,Cooppallaan,3 - 4 bedrooms,121,0,,,,,,,
20236417,9310,baardegem,455600542214,BIOMOLEN,3 bedrooms,135,0,,,,,,,
20235883,9051,sint-denijs-westrem,458000465000,,4 bedrooms,175,0,,,,,,,
20235186,1130,bruxelles,481000521000,LES JARDINS,4 bedrooms,149,0,,,,,,,
20235178,1140,evere,481000521000,LES JARDINS,4 bedrooms,149,0,,,,,,,
20235194,1830,machelen,481000506000,LES JARDINS,4 bedrooms,149,0,,,,,,,
20235621,9000,gent,498000585000,Rhodon,4 bedrooms,180,0,,,,,,,
20238507,3290,diest,369000,"House
     ",,377,0,,4,0.0,,,,
20238506,3920,lommel,274500,"Apartment
 ",2 bedrooms,92,1,Good,3,0.0,,0.0,,27
20238505,3920,lommel,272500,"Apartment
 ",2 bedrooms,92,1,Good,3,0.0,,0.0,,22
20238500,9340,lede,399000,"House
     ",3 bedrooms,200,0,,2,,,,,
20238496,4347,fexhe-le-haut-clocher,240000,"Apartment
 ",2 bedrooms,0,1,As new,,,,0.0,1,
20238495,3870,heers,320000,"House
     ",3 bedrooms,182,1,Good,4,,,,,
20238494,3590,diepenbeek,750000,Mixed-use b,5 bedrooms,498,1,Good,3,,,,,35
20238493,3700,tongeren,449000,"Apartment
 ",3 bedrooms,345,1,,3,,,,,
20238490,1350,orp-jauche,375000,"House
     ",3 bedrooms,148,1,As new,4,,,,860,30
20238488,3870,heers,239000,"House
     ",4 bedrooms,240,0,,3,,,,,
20238487,3830,wellen,209000,Service fla,1 bedroom,72,1,Good,2,,,,,9
20238486,9820,merelbeke,520000,"House
     ",4 bedrooms,166,0,,3,,,,326,30
20238483,8800,roeselare%20rumbeke,279000,"House
     ",3 bedrooms,114,1,Good,2,0.0,,,,
20131594,1180,uccle,286000,"Apartment
 ",2 bedrooms,90,0,Good,,,,,,
20238482,1180,bruxelles,595000,"Apartment
 ",3 bedrooms,172,1,Good,2,,,0.0,,8
20238480,1470,bousval,775000,"House
     ",4 bedrooms,361,1,To renovate,4,,1.0,,,
20238478,8530,harelbeke,411300,"House
     ",3 bedrooms,220,0,As new,2,,,,1,
20238474,1050,bruxelles,595000,"Apartment
 ",3 bedrooms,172,1,Good,2,,,0.0,,6
20238472,8490,varsenare,429000,"Villa
     ",3 bedrooms,165,0,Good,4,,,,,
20238470,3800,brustem,371900,"House
     ",3 bedrooms,150,0,,4,,,,,
20238471,3800,brustem,392561,"House
     ",3 bedrooms,169,0,,4,,,,,
20238468,3600,genk,389000,"House
     ",3 bedrooms,153,1,As new,3,,,,,
20238469,3990,peer,399000,"House
     ",3 bedrooms,136,1,,3,,,,,
20238466,3910,pelt,349000,"Apartment
 ",3 bedrooms,191,1,Good,2,,,,,26
20238465,3550,heusden-zolder,345000,"House
     ",4 bedrooms,190,1,To renovate,3,,,,,
20238460,4990,lierneux,260000,"House
     ",3 bedrooms,169,1,,4,0.0,,,563,14
20238458,2930,brasschaat,489000,"Apartment
 ",2 bedrooms,140,0,Good,2,,,,,
20238455,3920,lommel,272500,"Apartment
 ",2 bedrooms,92,1,Good,3,0.0,,0.0,,22
20199658,1000,bruxelles,645000,"Penthouse
 ",3 bedrooms,170,1,To renovate,2,,,0.0,,15
20238451,1000,bruxelles,595000,"Apartment
 ",3 bedrooms,172,1,Good,2,,,0.0,,8
