Property ID,Postal code,Locality name,Price,Type of property,Number of rooms,Living area,Equipped kitchen,State of building,Number of facades,Furnished,Open fire,Swimming pool,Garden (m²),Terrace (m²)
20236298,2660,hoboken,249900.0,"Apartment
 ",2 bedrooms,97,0,As new,2,,,,,3
20236289,2018,antwerpen-2018,375000.0,"Apartment
 ",2 bedrooms,100,1,Good,,,,,,20
20236163,9890,gavere,159325447375.0,Gaverling -,1 - 3 bedrooms,75,0,,,,,,,
20236149,9890,gavere,159325447375.0,Gaverling G,1 - 3 bedrooms,75,0,,,,,,,
20234667,1080,molenbeek-saint-jean,188000265000.0,EKLA,1 - 2 bedrooms,49,0,,,,,,,
20234591,1082,berchem-sainte-agathe,230000480000.0,AGATHA GARD,0 - 4 bedrooms,40,0,,,,,,,
20234626,1083,ganshoren,230000480000.0,AGATHA GARD,0 - 4 bedrooms,40,0,,,,,,,
20237328,2500,lier,260000265000.0,Residentie ,1 bedroom,75,0,,,,,,,
20236688,9300,aalst,260250304000.0,Residentie ,2 - 3 bedrooms,107,0,,,,,,,
20234664,1030,schaerbeek,265000570000.0,IDYLLES,1 - 3 bedrooms,55,0,,,,,,,
20234924,1140,evere,269000469000.0,HANRIOT,1 - 3 bedrooms,74,0,,,,,,,
20236231,9890,gavere,273700382150.0,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236197,9890,gavere,273700382500.0,Gaverling G,1 - 3 bedrooms,76,0,,,,,,,
20236692,9300,aalst,276500332000.0,Residentie ,2 bedrooms,96,0,,,,,,,
20236679,1770,liedekerke,286000462000.0,Vallei Hout,2 - 3 bedrooms,86,0,,,,,,,
20236405,2547,lint,299500319000.0,Residentie ,2 bedrooms,78,0,,,,,,,
20236078,9052,gent-zwijnaarde,301948556453.0,Residentie ,1 - 3 bedrooms,69,0,,,,,,,
20235623,9000,gent,310000400000.0,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20235624,9051,sint-denijs-westrem,310000400000.0,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20235622,9051,sint-denijs-westrem,310000400000.0,Bloei Fase ,2 - 3 bedrooms,81,0,,,,,,,
20234681,1020,bruxelles,320000465000.0,BRIQUETERIE,2 - 3 bedrooms,96,0,,,,,,,
20236365,9600,ronse,347400394600.0,WOONERF HOE,4 bedrooms,170,0,,,,,,,
20236677,9300,aalst,349000.0,De Tuinpavi,2 bedrooms,108,0,,,,,,,
20236694,9420,mere,360000430000.0,Residentie ,2 bedrooms,101,0,,,,,,,
20236132,9890,gavere,365000397000.0,Gaverling -,3 bedrooms,171,0,,,,,,,
20235803,9850,merendree,370000396000.0,,3 bedrooms,158,0,,,,,,,
20236252,9230,wetteren,404500450000.0,Cooppallaan,3 - 4 bedrooms,121,0,,,,,,,
20236417,9310,baardegem,455600542214.0,BIOMOLEN,3 bedrooms,135,0,,,,,,,
20235883,9051,sint-denijs-westrem,458000465000.0,,4 bedrooms,175,0,,,,,,,
20235186,1130,bruxelles,481000521000.0,LES JARDINS,4 bedrooms,149,0,,,,,,,
20237627,4633,soumagne,260000.0,"House
     ",4 bedrooms,140,1,Good,3,0.0,,,630,72
20237623,1180,uccle,435000.0,"Penthouse
 ",2 bedrooms,95,1,,,,,,,20
20237616,3200,aarschot,279000849000.0,De Torens -,1 - 3 bedrooms,67,0,,,,,,,
20105898,1080,molenbeek-saint-jean,172000.0,"Apartment
 ",,90,1,To be done up,2,,,0.0,,
20237613,2850,boom,165000.0,"Apartment
 ",2 bedrooms,76,0,To renovate,2,,,,,
20175118,2850,boom,229000.0,"Apartment
 ",3 bedrooms,130,0,To renovate,3,,,,,18
20237612,2600,berchem,240000.0,"Apartment
 ",3 bedrooms,90,1,Good,,,,,,17
20237611,1390,grez-doiceau,415000.0,"House
     ",3 bedrooms,170,1,,4,,1.0,,525,
20237606,6180,courcelles,289000.0,"House
     ",3 bedrooms,140,0,,,,,,,
20237603,1800,vilvoorde,239000.0,"Apartment
 ",2 bedrooms,96,0,,2,0.0,,0.0,,2
20237602,1930,zaventem,499000.0,"House
     ",4 bedrooms,190,1,,2,,,,180,
20237599,8000,brugge,725000.0,"Apartment
 ",3 bedrooms,174,1,Just renovated,2,,,,,15
20237600,8000,brugge,379000.0,"Apartment
 ",2 bedrooms,100,1,Just renovated,,,,,,2
20237598,8400,oostende,269000.0,"Apartment
 ",1 bedroom,51,1,Good,2,,,,,
20237597,8000,brugge,359000.0,"Apartment
 ",2 bedrooms,86,1,Just renovated,2,,,,,9
20237594,5500,dinant,180000.0,"Town-house
",4 bedrooms,185,0,Good,,,,,,
20237592,9300,aalst,1195000.0,"House
     ",3 bedrooms,385,1,As new,4,,,,,
20237591,9300,aalst,549000.0,"Apartment
 ",4 bedrooms,180,1,Good,2,,,,,15
20237590,9300,aalst,350000.0,"Apartment
 ",3 bedrooms,126,1,Good,2,,,,,9
20237587,1745,opwijk,311000.0,"House
     ",5 bedrooms,937,0,Good,,,,,,
20209906,1080,sint-jans-molenbeek,219000.0,"Apartment
 ",1 bedroom,72,1,Good,2,0.0,,0.0,,10
20237582,1030,schaerbeek,299000.0,"House
     ",3 bedrooms,140,1,To be done up,2,0.0,,,,
20131776,6030,charleroi-marchienne-au-pont,119000.0,"House
     ",4 bedrooms,,0,To be done up,2,0.0,,,,
20237580,1140,evere,265000.0,"Apartment
 ",1 bedroom,74,0,Good,,,,,,7
20237578,1400,nivelles,250000.0,"Apartment
 ",2 bedrooms,98,1,Good,2,0.0,,1.0,,10
20237574,4000,li%C3%A8ge,345124.0,"Loft
      ",3 bedrooms,128,1,As new,,0.0,,,,12
20111096,9230,wetteren,450000.0,"Villa
     ",3 bedrooms,200,0,Good,4,,,,,
20237572,5001,belgrade,295000.0,"House
     ",2 bedrooms,150,0,,4,,,,,10
20237573,5000,namur,295000.0,"House
     ",2 bedrooms,150,0,,4,,,,,10
11356351,1640,rhode-saint-gen%C3%A8se,2250000.0,"House
     ",5 bedrooms,400,0,As new,4,,,,,
20235178,1140,evere,481000521000.0,LES JARDINS,4 bedrooms,149,0,,,,,,,
20235194,1830,machelen,481000506000.0,LES JARDINS,4 bedrooms,149,0,,,,,,,
20235621,9000,gent,498000585000.0,Rhodon,4 bedrooms,180,0,,,,,,,
20235882,9052,zwijnaarde,679000725000.0,,3 bedrooms,191,0,,,,,,,
20233362,2900,schoten,225000.0,"Apartment
 ",2 bedrooms,95,1,Good,,,,,,3
20233363,2900,schoten,225000.0,"Penthouse
 ",2 bedrooms,95,1,Good,,,,,,3
20231570,1200,woluwe-saint-lambert,225000.0,"Apartment
 ",2 bedrooms,73,1,Good,2,0.0,,0.0,,17
20234270,2660,hoboken,229000.0,"Apartment
 ",3 bedrooms,100,0,As new,2,,,,,26
20234084,1170,watermael-boitsfort,550000.0,"Apartment
 ",4 bedrooms,143,1,Good,2,0.0,,0.0,,18
20233537,1000,bruxelles,169500389000.0,BLVD10,0 - 2 bedrooms,30,0,,,,,,,
20233512,1210,saint-josse-ten-noode,169500389000.0,BLVD10,0 - 2 bedrooms,30,0,,,,,,,
20234146,1190,forest,188000460000.0,"""Forest Vil",0 - 3 bedrooms,42,0,,,,,,,
20233818,1190,forest,188000460000.0,FOREST VILL,0 - 3 bedrooms,43,0,,,,,,,
20232485,9000,gent,235000340000.0,Bloei Fase ,1 - 3 bedrooms,57,0,,,,,,,
20230844,9800,astene,245000650000.0,Kapellehof,1 - 3 bedrooms,69,0,,,,,,,
20235005,2850,boom,249000349000.0,REMI,2 bedrooms,77,0,,,,,,,
20234323,2500,lier,260000265000.0,Residentie ,1 bedroom,75,0,,,,,,,
20233557,1000,bruxelles,2650001495000.0,UNIQ,0 - 3 bedrooms,54,0,,,,,,,
20233595,1000,bruxelles,265000500000.0,DEPOT,0 - 3 bedrooms,59,0,,,,,,,
20233521,1080,molenbeek-saint-jean,265000500000.0,DEPOT,0 - 3 bedrooms,59,0,,,,,,,
20232954,9940,evergem,295000445000.0,Green Squar,1 - 3 bedrooms,75,0,,,,,,,
20232876,9940,sleidinge,295000445000.0,Green Squar,1 - 3 bedrooms,75,0,,,,,,,
20233883,1082,berchem-sainte-agathe,315000390000.0,L'ETOILE VE,2 bedrooms,97,0,,,,,,,
20233878,1700,dilbeek,315000390000.0,L'ETOILE VE,2 bedrooms,97,0,,,,,,,
20234520,2400,mol,315000319000.0,Residentiew,2 - 3 bedrooms,104,0,,,,,,,
20233526,1020,bruxelles,325000410000.0,CHOCOLATERI,2 - 3 bedrooms,102,0,,,,,,,
20233491,1070,anderlecht,335000.0,PARK SIDE,3 bedrooms,118,0,,,,,,,
20233894,9800,deinze,337000383011.0,BegijnHof,3 bedrooms,138,0,,,,,,,
20232489,9000,gent,369000.0,Rhodon,2 bedrooms,93,0,,,,,,,
20233598,9620,zottegem,420000495000.0,Residentie ,2 - 3 bedrooms,151,0,,,,,,,
20237574,4000,li%C3%A8ge,345124.0,"Loft
      ",3 bedrooms,128,1,As new,,0.0,,,,12
20111096,9230,wetteren,450000.0,"Villa
     ",3 bedrooms,200,0,Good,4,,,,,
20237572,5001,belgrade,295000.0,"House
     ",2 bedrooms,150,0,,4,,,,,10
20237573,5000,namur,295000.0,"House
     ",2 bedrooms,150,0,,4,,,,,10
11356351,1640,rhode-saint-gen%C3%A8se,2250000.0,"House
     ",5 bedrooms,400,0,As new,4,,,,,
20237570,2627,schelle,395000.0,"House
     ",3 bedrooms,170,1,As new,3,,,,60,
20237569,4920,aywaille,199000.0,"House
     ",3 bedrooms,149,1,Good,2,0.0,,,,
